,precision,recall,f1-score,support
bug report,0.9627,0.9280,0.9450,1000.0000
feature request,0.9845,0.9530,0.9685,1000.0000
rating,0.9094,0.9230,0.9161,1000.0000
user experience,0.9098,0.9580,0.9333,1000.0000
accuracy,0.9405,0.9405,0.9405,0.9405
macro avg,0.9416,0.9405,0.9407,4000.0000
weighted avg,0.9416,0.9405,0.9407,4000.0000
