,precision,recall,f1-score,support
bug report,0.9688,0.9310,0.9495,1000.0000
feature request,0.9948,0.9570,0.9755,1000.0000
rating,0.9163,0.9200,0.9182,1000.0000
user experience,0.9031,0.9690,0.9349,1000.0000
accuracy,0.9442,0.9442,0.9442,0.9442
macro avg,0.9457,0.9442,0.9445,4000.0000
weighted avg,0.9457,0.9442,0.9445,4000.0000
