,precision,recall,f1-score,support
feature request,0.9726,0.9726,0.9726,328.0000
bug report,0.9837,0.9798,0.9817,247.0000
rating,0.9893,0.7676,0.8645,241.0000
user experience,0.9867,0.9560,0.9711,545.0000
micro avg,0.9829,0.9309,0.9562,1361.0000
macro avg,0.9831,0.9190,0.9475,1361.0000
weighted avg,0.9832,0.9309,0.9545,1361.0000
samples avg,0.8670,0.8400,0.8477,1361.0000
