,precision,recall,f1-score,support
feature request,0.9841,0.9718,0.9779,319.0000
bug report,0.9842,0.9540,0.9689,261.0000
rating,0.9677,0.7985,0.8750,263.0000
user experience,0.9873,0.9679,0.9775,561.0000
micro avg,0.9828,0.9345,0.9580,1404.0000
macro avg,0.9808,0.9231,0.9498,1404.0000
weighted avg,0.9823,0.9345,0.9568,1404.0000
samples avg,0.8727,0.8421,0.8509,1404.0000
