,precision,recall,f1-score,support
feature request,0.9758,0.9625,0.9691,293.0000
bug report,1.0000,0.9808,0.9903,261.0000
rating,0.9701,0.7606,0.8526,213.0000
user experience,0.9811,0.9628,0.9719,538.0000
micro avg,0.9823,0.9333,0.9572,1305.0000
macro avg,0.9817,0.9167,0.9460,1305.0000
weighted avg,0.9819,0.9333,0.9555,1305.0000
samples avg,0.8546,0.8286,0.8346,1305.0000
