,precision,recall,f1-score,support
bug report,1.0000,0.9880,0.9940,500.0000
feature request,0.9901,0.9980,0.9940,500.0000
rating,0.9939,0.9820,0.9879,500.0000
user experience,0.9783,0.9940,0.9861,500.0000
accuracy,0.9905,0.9905,0.9905,0.9905
macro avg,0.9906,0.9905,0.9905,2000.0000
weighted avg,0.9906,0.9905,0.9905,2000.0000
