,precision,recall,f1-score,support
bug report,0.8175,0.8175,0.8175,400.0000
feature request,0.9494,0.8450,0.8942,400.0000
rating,0.7847,0.7925,0.7886,400.0000
user experience,0.7477,0.8225,0.7833,400.0000
accuracy,0.8194,0.8194,0.8194,0.8194
macro avg,0.8248,0.8194,0.8209,1600.0000
weighted avg,0.8248,0.8194,0.8209,1600.0000
