,precision,recall,f1-score,support
bug report,0.8296,0.8275,0.8285,400.0000
feature request,0.9581,0.8575,0.9050,400.0000
rating,0.7518,0.7875,0.7692,400.0000
user experience,0.7335,0.7775,0.7549,400.0000
accuracy,0.8125,0.8125,0.8125,0.8125
macro avg,0.8182,0.8125,0.8144,1600.0000
weighted avg,0.8182,0.8125,0.8144,1600.0000
