,precision,recall,f1-score,support
bug report,0.9043,0.9450,0.9242,200.0000
feature request,0.8906,0.8550,0.8724,200.0000
rating,0.9036,0.8900,0.8967,200.0000
user experience,0.8416,0.8500,0.8458,200.0000
accuracy,0.8850,0.8850,0.8850,0.8850
macro avg,0.8850,0.8850,0.8848,800.0000
weighted avg,0.8850,0.8850,0.8848,800.0000
