,precision,recall,f1-score,support
feature request,0.9460,0.9570,0.9520,164.0000
bug report,0.9860,0.9590,0.9720,146.0000
rating,0.9630,0.6170,0.7520,128.0000
user experience,0.9250,0.9310,0.9280,290.0000
micro avg,0.9470,0.8870,0.9160,728.0000
macro avg,0.9550,0.8660,0.9010,728.0000
weighted avg,0.9490,0.8870,0.9110,728.0000
samples avg,0.8620,0.8180,0.8280,728.0000
