,precision,recall,f1-score,support
feature request,0.9930,0.8960,0.9420,164.0000
bug report,0.9560,0.8840,0.9180,146.0000
rating,0.7860,0.6330,0.7010,128.0000
user experience,0.8910,0.9000,0.8950,290.0000
micro avg,0.9100,0.8490,0.8780,728.0000
macro avg,0.9060,0.8280,0.8640,728.0000
weighted avg,0.9090,0.8490,0.8760,728.0000
samples avg,0.8220,0.7810,0.7840,728.0000
