,precision,recall,f1-score,support
bug report,0.9960,0.9960,0.9960,500.0000
feature request,1.0000,0.9960,0.9980,500.0000
rating,0.9960,0.9960,0.9960,500.0000
user experience,0.9960,1.0000,0.9980,500.0000
accuracy,0.9970,0.9970,0.9970,0.9970
macro avg,0.9970,0.9970,0.9970,2000.0000
weighted avg,0.9970,0.9970,0.9970,2000.0000
