,precision,recall,f1-score,support
bug report,0.9709,1.0000,0.9852,100.0000
feature request,0.9899,0.9800,0.9849,100.0000
rating,1.0000,0.9400,0.9691,100.0000
user experience,0.9519,0.9900,0.9706,100.0000
accuracy,0.9775,0.9775,0.9775,0.9775
macro avg,0.9782,0.9775,0.9775,400.0000
weighted avg,0.9782,0.9775,0.9775,400.0000
