,precision,recall,f1-score,support
bug report,0.8613,0.7450,0.7989,200.0000
feature request,0.9660,0.8533,0.9062,300.0000
rating,0.8706,0.8480,0.8592,500.0000
user experience,0.8400,0.9450,0.8894,600.0000
accuracy,0.8725,0.8725,0.8725,0.8725
macro avg,0.8845,0.8478,0.8634,1600.0000
weighted avg,0.8759,0.8725,0.8718,1600.0000
