,precision,recall,f1-score,support
bug report,1.0000,1.0000,1.0000,100.0000
feature request,1.0000,0.9933,0.9967,150.0000
rating,1.0000,0.9880,0.9940,250.0000
user experience,0.9868,1.0000,0.9934,300.0000
accuracy,0.9950,0.9950,0.9950,0.9950
macro avg,0.9967,0.9953,0.9960,800.0000
weighted avg,0.9951,0.9950,0.9950,800.0000
