,precision,recall,f1-score,support
bug report,1.0000,1.0000,1.0000,100.0000
feature request,1.0000,0.9867,0.9933,150.0000
rating,0.9920,0.9880,0.9900,250.0000
user experience,0.9868,0.9967,0.9917,300.0000
accuracy,0.9925,0.9925,0.9925,0.9925
macro avg,0.9947,0.9928,0.9937,800.0000
weighted avg,0.9925,0.9925,0.9925,800.0000
