,precision,recall,f1-score,support
feature request,0.9900,0.9900,0.9900,291.0000
bug report,0.9960,0.9890,0.9930,269.0000
rating,0.9520,0.8830,0.9160,247.0000
user experience,0.9650,0.9870,0.9760,534.0000
micro avg,0.9740,0.9690,0.9720,1341.0000
macro avg,0.9760,0.9620,0.9690,1341.0000
weighted avg,0.9740,0.9690,0.9710,1341.0000
samples avg,0.8610,0.8590,0.8560,1341.0000
