,precision,recall,f1-score,support
bug report,0.6987,0.8000,0.7459,200.0000
feature request,0.7249,0.6850,0.7044,200.0000
rating,0.6911,0.6600,0.6752,200.0000
user experience,0.6126,0.5850,0.5985,200.0000

accuracy,0.6825,0.6825,0.6825,0.6825
macro avg,0.6818,0.6825,0.6810,800.0000
weighted avg,0.6818,0.6825,0.6810,800.0000
