,precision,recall,f1-score,support
bug report,0.7051,0.7650,0.7338,200.0000
feature request,0.6963,0.6650,0.6803,200.0000
rating,0.6789,0.6450,0.6615,200.0000
user experience,0.6287,0.6350,0.6318,200.0000

accuracy,0.6775,0.6775,0.6775,0.6775
macro avg,0.6773,0.6775,0.6769,800.0000
weighted avg,0.6773,0.6775,0.6769,800.0000
