,precision,recall,f1-score,support
feature request,0.9487,0.9427,0.9457,157.0000
bug report,0.9868,0.9312,0.9582,160.0000
rating,0.9208,0.7154,0.8052,130.0000
user experience,0.9705,0.9427,0.9564,279.0000
micro avg,0.9617,0.8994,0.9295,726.0000
macro avg,0.9567,0.8830,0.9164,726.0000
weighted avg,0.9605,0.8994,0.9274,726.0000
samples avg,0.8779,0.8438,0.8533,726.0000
