,precision,recall,f1-score,support
feature request,0.9770,0.9659,0.9714,176.0000
bug report,0.9926,0.9571,0.9745,140.0000
rating,0.9524,0.6849,0.7968,146.0000
user experience,0.9823,0.9329,0.9570,298.0000
micro avg,0.9785,0.8974,0.9362,760.0000
macro avg,0.9761,0.8852,0.9249,760.0000
weighted avg,0.9772,0.8974,0.9328,760.0000
samples avg,0.8685,0.8135,0.8307,760.0000
