,precision,recall,f1-score,support
bug report,0.8333,0.8566,0.8448,251.0000
feature request,0.8241,0.8972,0.8591,282.0000
rating,0.7538,0.6622,0.7050,148.0000
user experience,0.7619,0.6723,0.7143,119.0000
accuracy,0.8075,0.8075,0.8075,0.8075
macro avg,0.7933,0.7720,0.7808,800.0000
weighted avg,0.8047,0.8075,0.8046,800.0000
