,precision,recall,f1-score,support
bug report,0.8287,0.8287,0.8287,251.0000
feature request,0.8079,0.8652,0.8356,282.0000
rating,0.6853,0.6622,0.6735,148.0000
user experience,0.6827,0.5966,0.6368,119.0000
accuracy,0.7762,0.7762,0.7762,0.7762
macro avg,0.7512,0.7382,0.7437,800.0000
weighted avg,0.7731,0.7762,0.7739,800.0000
