,precision,recall,f1-score,support
bug report,0.8471,0.8606,0.8538,251.0000
feature request,0.8033,0.8688,0.8348,282.0000
rating,0.7133,0.6892,0.7010,148.0000
user experience,0.7732,0.6303,0.6944,119.0000
accuracy,0.7975,0.7975,0.7975,0.7975
macro avg,0.7842,0.7622,0.7710,800.0000
weighted avg,0.7959,0.7975,0.7951,800.0000
