,precision,recall,f1-score,support
feature request,0.9981,0.9867,0.9923,525.0000
bug report,0.9902,0.9759,0.9830,415.0000
rating,0.9973,0.9138,0.9537,406.0000
user experience,0.9899,0.9713,0.9805,1009.0000
micro avg,0.9930,0.9656,0.9791,2355.0000
macro avg,0.9939,0.9619,0.9774,2355.0000
weighted avg,0.9931,0.9656,0.9790,2355.0000
samples avg,0.8345,0.8217,0.8258,2355.0000
