,precision,recall,f1-score,support
bug report,0.7793,0.8968,0.8339,126.0000
feature request,0.9024,0.7872,0.8409,141.0000
rating,0.8889,0.7568,0.8175,74.0000
user experience,0.7536,0.8814,0.8125,59.0000
accuracy,0.8300,0.8300,0.8300,0.8300
macro avg,0.8311,0.8305,0.8262,400.0000
weighted avg,0.8392,0.8300,0.8302,400.0000
