,precision,recall,f1-score,support
bug report,0.8261,0.9048,0.8636,126.0000
feature request,0.8881,0.8440,0.8655,141.0000
rating,0.8438,0.7297,0.7826,74.0000
user experience,0.7812,0.8475,0.8130,59.0000
accuracy,0.8425,0.8425,0.8425,0.8425
macro avg,0.8348,0.8315,0.8312,400.0000
weighted avg,0.8446,0.8425,0.8418,400.0000
