,precision,recall,f1-score,support
bug report,1.0000,0.9900,0.9950,200.0000
feature request,0.9934,1.0000,0.9967,300.0000
rating,0.9960,0.9980,0.9970,500.0000
user experience,0.9967,0.9950,0.9958,600.0000
accuracy,0.9962,0.9962,0.9962,0.9962
macro avg,0.9965,0.9958,0.9961,1600.0000
weighted avg,0.9963,0.9962,0.9962,1600.0000
