,precision,recall,f1-score,support
bug report,1.0000,0.9960,0.9980,500.0000
feature request,0.9940,1.0000,0.9970,500.0000
rating,0.9960,0.9840,0.9899,500.0000
user experience,0.9881,0.9980,0.9930,500.0000
accuracy,0.9945,0.9945,0.9945,0.9945
macro avg,0.9945,0.9945,0.9945,2000.0000
weighted avg,0.9945,0.9945,0.9945,2000.0000
