,precision,recall,f1-score,support
bug report,1.0000,1.0000,1.0000,100.0000
feature request,0.9933,0.9933,0.9933,150.0000
rating,0.9960,0.9960,0.9960,250.0000
user experience,0.9967,0.9967,0.9967,300.0000
accuracy,0.9962,0.9962,0.9962,0.9962
macro avg,0.9965,0.9965,0.9965,800.0000
weighted avg,0.9962,0.9962,0.9962,800.0000
