,precision,recall,f1-score,support
bug report,0.9259,1.0000,0.9615,50.0000
feature request,1.0000,0.9333,0.9655,75.0000
rating,0.9919,0.9840,0.9880,125.0000
user experience,0.9803,0.9933,0.9868,150.0000
accuracy,0.9800,0.9800,0.9800,0.9800
macro avg,0.9745,0.9777,0.9754,400.0000
weighted avg,0.9808,0.9800,0.9800,400.0000
