,precision,recall,f1-score,support
bug report,0.8934,0.8651,0.8790,126.0000
feature request,0.8906,0.8085,0.8476,141.0000
rating,0.6526,0.8378,0.7337,74.0000
user experience,0.7636,0.7119,0.7368,59.0000
accuracy,0.8175,0.8175,0.8175,0.8175
macro avg,0.8001,0.8058,0.7993,400.0000
weighted avg,0.8288,0.8175,0.8201,400.0000
