,precision,recall,f1-score,support
bug report,0.8087,0.9300,0.8651,100.0000
feature request,0.7909,0.8700,0.8286,100.0000
rating,0.8493,0.6200,0.7168,100.0000
user experience,0.7157,0.7300,0.7228,100.0000
accuracy,0.7875,0.7875,0.7875,0.7875
macro avg,0.7912,0.7875,0.7833,400.0000
weighted avg,0.7912,0.7875,0.7833,400.0000
