,precision,recall,f1-score,support
bug report,1.0000,1.0000,1.0000,100.0000
feature request,0.9933,0.9867,0.9900,150.0000
rating,1.0000,0.9920,0.9960,250.0000
user experience,0.9868,0.9967,0.9917,300.0000
accuracy,0.9938,0.9938,0.9938,0.9938
macro avg,0.9950,0.9938,0.9944,800.0000
weighted avg,0.9938,0.9938,0.9938,800.0000
