,precision,recall,f1-score,support
bug report,0.9238,0.9700,0.9463,200.0000
feature request,0.9020,0.9200,0.9109,200.0000
rating,0.9110,0.8700,0.8900,200.0000
user experience,0.8513,0.8300,0.8405,200.0000
accuracy,0.8975,0.8975,0.8975,0.8975
macro avg,0.8970,0.8975,0.8969,800.0000
weighted avg,0.8970,0.8975,0.8969,800.0000
