,precision,recall,f1-score,support
bug report,0.9200,0.9200,0.9200,200.0000
feature request,0.9179,0.8950,0.9063,200.0000
rating,0.8414,0.9550,0.8946,200.0000
user experience,0.9270,0.8250,0.8730,200.0000
accuracy,0.8988,0.8988,0.8988,0.8988
macro avg,0.9016,0.8988,0.8985,800.0000
weighted avg,0.9016,0.8988,0.8985,800.0000
