,precision,recall,f1-score,support
feature request,0.9860,0.9590,0.9723,293.0000
bug report,0.9884,0.9770,0.9827,261.0000
rating,0.9351,0.8122,0.8693,213.0000
user experience,0.9866,0.9572,0.9717,538.0000
micro avg,0.9792,0.9379,0.9581,1305.0000
macro avg,0.9740,0.9264,0.9490,1305.0000
weighted avg,0.9784,0.9379,0.9573,1305.0000
samples avg,0.8519,0.8303,0.8351,1305.0000
