,precision,recall,f1-score,support
bug report,1.0000,0.9600,0.9796,50.0000
feature request,0.9863,0.9600,0.9730,75.0000
rating,0.9841,0.9920,0.9880,125.0000
user experience,0.9739,0.9933,0.9835,150.0000
accuracy,0.9825,0.9825,0.9825,0.9825
macro avg,0.9861,0.9763,0.9810,400.0000
weighted avg,0.9827,0.9825,0.9825,400.0000
