,precision,recall,f1-score,support
bug report,1.0000,0.9950,0.9975,200.0000
feature request,0.9901,1.0000,0.9950,200.0000
rating,0.9851,0.9950,0.9900,200.0000
user experience,0.9949,0.9800,0.9874,200.0000
accuracy,0.9925,0.9925,0.9925,0.9925
macro avg,0.9925,0.9925,0.9925,800.0000
weighted avg,0.9925,0.9925,0.9925,800.0000
