,precision,recall,f1-score,support
bug report,0.7500,0.8100,0.7788,100.0000
feature request,0.8152,0.7500,0.7812,100.0000
rating,0.8000,0.5600,0.6588,100.0000
user experience,0.5923,0.7700,0.6696,100.0000
accuracy,0.7225,0.7225,0.7225,0.7225
macro avg,0.7394,0.7225,0.7221,400.0000
weighted avg,0.7394,0.7225,0.7221,400.0000
