,precision,recall,f1-score,support
bug report,0.7596,0.7900,0.7745,100.0000
feature request,0.7248,0.7900,0.7560,100.0000
rating,0.6907,0.6700,0.6802,100.0000
user experience,0.6444,0.5800,0.6105,100.0000
accuracy,0.7075,0.7075,0.7075,0.7075
macro avg,0.7049,0.7075,0.7053,400.0000
weighted avg,0.7049,0.7075,0.7053,400.0000
