,precision,recall,f1-score,support
bug report,0.7700,0.7700,0.7700,100.0000
feature request,0.6903,0.7800,0.7324,100.0000
rating,0.7397,0.5400,0.6243,100.0000
user experience,0.5965,0.6800,0.6355,100.0000
accuracy,0.6925,0.6925,0.6925,0.6925
macro avg,0.6991,0.6925,0.6905,400.0000
weighted avg,0.6991,0.6925,0.6905,400.0000
