,precision,recall,f1-score,support
feature request,0.9981,0.9752,0.9865,525.0000
bug report,0.9927,0.9807,0.9867,415.0000
rating,0.9845,0.9360,0.9596,406.0000
user experience,0.9950,0.9822,0.9885,1009.0000
micro avg,0.9935,0.9724,0.9828,2355.0000
macro avg,0.9925,0.9685,0.9803,2355.0000
weighted avg,0.9934,0.9724,0.9828,2355.0000
samples avg,0.8376,0.8284,0.8309,2355.0000
