,precision,recall,f1-score,support
bug report,0.9158,0.9250,0.9204,200.0000
feature request,0.9055,0.9100,0.9077,200.0000
rating,0.9071,0.8300,0.8668,200.0000
user experience,0.8037,0.8600,0.8309,200.0000
accuracy,0.8812,0.8812,0.8812,0.8812
macro avg,0.8830,0.8812,0.8815,800.0000
weighted avg,0.8830,0.8812,0.8815,800.0000
