,precision,recall,f1-score,support
bug report,0.9137,0.9000,0.9068,200.0000
feature request,0.9109,0.9200,0.9154,200.0000
rating,0.8599,0.8900,0.8747,200.0000
user experience,0.8557,0.8300,0.8426,200.0000
accuracy,0.8850,0.8850,0.8850,0.8850
macro avg,0.8850,0.8850,0.8849,800.0000
weighted avg,0.8850,0.8850,0.8849,800.0000
