,precision,recall,f1-score,support
bug report,0.8932,0.9200,0.9064,200.0000
feature request,0.9382,0.8350,0.8836,200.0000
rating,0.8571,0.9000,0.8780,200.0000
user experience,0.8252,0.8500,0.8374,200.0000
accuracy,0.8762,0.8762,0.8762,0.8762
macro avg,0.8784,0.8762,0.8764,800.0000
weighted avg,0.8784,0.8762,0.8764,800.0000
