,precision,recall,f1-score,support
bug report,0.9851,0.9900,0.9875,200.0000
feature request,0.9967,0.9967,0.9967,300.0000
rating,0.9940,0.9980,0.9960,500.0000
user experience,0.9983,0.9933,0.9958,600.0000
accuracy,0.9950,0.9950,0.9950,0.9950
macro avg,0.9935,0.9945,0.9940,1600.0000
weighted avg,0.9950,0.9950,0.9950,1600.0000
