,precision,recall,f1-score,support
bug report,0.9961,0.9496,0.9723,536.0000
feature request,1.0000,0.9670,0.9832,455.0000
rating,0.9754,0.8947,0.9333,399.0000
user experience,0.9990,0.9597,0.9790,1018.0000
micro avg,0.9948,0.9481,0.9709,2408.0000
macro avg,0.9926,0.9428,0.9670,2408.0000
weighted avg,0.9946,0.9481,0.9707,2408.0000
samples avg,0.8470,0.8259,0.8327,2408.0000
