,precision,recall,f1-score,support
bug report,0.8069,0.9286,0.8635,126.0000
feature request,0.8288,0.8582,0.8432,141.0000
rating,0.9298,0.7162,0.8092,74.0000
user experience,0.8462,0.7458,0.7928,59.0000
accuracy,0.8375,0.8375,0.8375,0.8375
macro avg,0.8529,0.8122,0.8272,400.0000
weighted avg,0.8431,0.8375,0.8359,400.0000
