,precision,recall,f1-score,support
bug report,0.8333,0.8730,0.8527,126.0000
feature request,0.7938,0.9007,0.8439,141.0000
rating,0.9245,0.6622,0.7717,74.0000
user experience,0.8364,0.7797,0.8070,59.0000
accuracy,0.8300,0.8300,0.8300,0.8300
macro avg,0.8470,0.8039,0.8188,400.0000
weighted avg,0.8367,0.8300,0.8279,400.0000
