,precision,recall,f1-score,support
bug report,0.8416,0.9300,0.8836,200.0000
feature request,0.8528,0.8400,0.8463,200.0000
rating,0.8808,0.6650,0.7578,200.0000
user experience,0.6926,0.8000,0.7425,200.0000
accuracy,0.8088,0.8088,0.8088,0.8088
macro avg,0.8170,0.8088,0.8076,800.0000
weighted avg,0.8170,0.8088,0.8076,800.0000
