,precision,recall,f1-score,support
bug report,0.9963,0.9239,0.9587,289.0000
feature request,0.9702,0.9157,0.9421,249.0000
rating,0.9212,0.8348,0.8759,224.0000
user experience,0.9756,0.9143,0.9440,525.0000
micro avg,0.9699,0.9029,0.9352,1287.0000
macro avg,0.9658,0.8972,0.9302,1287.0000
weighted avg,0.9697,0.9029,0.9351,1287.0000
samples avg,0.8420,0.8045,0.8143,1287.0000
