,precision,recall,f1-score,support
bug report,0.9891,0.8889,0.9363,306.0000
feature request,0.9644,0.9139,0.9385,267.0000
rating,0.9421,0.7427,0.8306,241.0000
user experience,0.9919,0.9088,0.9485,537.0000
micro avg,0.9777,0.8756,0.9239,1351.0000
macro avg,0.9719,0.8636,0.9135,1351.0000
weighted avg,0.9769,0.8756,0.9227,1351.0000
samples avg,0.8388,0.7791,0.7969,1351.0000
