,precision,recall,f1-score,support
feature request,0.9868,0.9317,0.9585,161.0000
bug report,0.9934,0.9375,0.9646,160.0000
rating,0.9886,0.6905,0.8131,126.0000
user experience,0.9565,0.9728,0.9646,294.0000
micro avg,0.9754,0.9082,0.9406,741.0000
macro avg,0.9813,0.8831,0.9252,741.0000
weighted avg,0.9765,0.9082,0.9375,741.0000
samples avg,0.8729,0.8340,0.8430,741.0000
