,precision,recall,f1-score,support
feature request,0.9932,0.9236,0.9571,157.0000
bug report,1.0000,0.9250,0.9610,160.0000
rating,0.9794,0.7308,0.8370,130.0000
user experience,0.9775,0.9355,0.9560,279.0000
micro avg,0.9863,0.8939,0.9379,726.0000
macro avg,0.9875,0.8787,0.9278,726.0000
weighted avg,0.9862,0.8939,0.9361,726.0000
samples avg,0.8835,0.8371,0.8515,726.0000
