,precision,recall,f1-score,support
feature request,0.9713,0.9602,0.9657,176.0000
bug report,0.9925,0.9500,0.9708,140.0000
rating,0.9060,0.7260,0.8061,146.0000
user experience,0.9824,0.9362,0.9588,298.0000
micro avg,0.9690,0.9039,0.9353,760.0000
macro avg,0.9630,0.8931,0.9253,760.0000
weighted avg,0.9670,0.9039,0.9333,760.0000
samples avg,0.8615,0.8169,0.8298,760.0000
