,precision,recall,f1-score,support
bug report,0.9950,0.9900,0.9925,200.0000
feature request,0.9967,1.0000,0.9983,300.0000
rating,0.9960,0.9960,0.9960,500.0000
user experience,0.9950,0.9950,0.9950,600.0000
accuracy,0.9956,0.9956,0.9956,0.9956
macro avg,0.9957,0.9952,0.9955,1600.0000
weighted avg,0.9956,0.9956,0.9956,1600.0000
