,precision,recall,f1-score,support
bug report,0.7615,0.8300,0.7943,100.0000
feature request,0.8041,0.7800,0.7919,100.0000
rating,0.8493,0.6200,0.7168,100.0000
user experience,0.6446,0.7800,0.7059,100.0000
accuracy,0.7525,0.7525,0.7525,0.7525
macro avg,0.7649,0.7525,0.7522,400.0000
weighted avg,0.7649,0.7525,0.7522,400.0000
