,precision,recall,f1-score,support
bug report,0.8557,0.8300,0.8426,100.0000
feature request,0.8018,0.8900,0.8436,100.0000
rating,0.8072,0.6700,0.7322,100.0000
user experience,0.6789,0.7400,0.7081,100.0000
accuracy,0.7825,0.7825,0.7825,0.7825
macro avg,0.7859,0.7825,0.7817,400.0000
weighted avg,0.7859,0.7825,0.7817,400.0000
