,precision,recall,f1-score,support
bug report,0.8475,0.7937,0.8197,126.0000
feature request,0.8267,0.8794,0.8522,141.0000
rating,0.7846,0.6892,0.7338,74.0000
user experience,0.6269,0.7119,0.6667,59.0000
accuracy,0.7925,0.7925,0.7925,0.7925
macro avg,0.7714,0.7685,0.7681,400.0000
weighted avg,0.7960,0.7925,0.7927,400.0000
