,precision,recall,f1-score,support
bug report,0.8305,0.7778,0.8033,126.0000
feature request,0.8255,0.8723,0.8483,141.0000
rating,0.8167,0.6622,0.7313,74.0000
user experience,0.6301,0.7797,0.6970,59.0000
accuracy,0.7900,0.7900,0.7900,0.7900
macro avg,0.7757,0.7730,0.7700,400.0000
weighted avg,0.7966,0.7900,0.7902,400.0000
