,precision,recall,f1-score,support
bug report,0.7817,0.8810,0.8284,126.0000
feature request,0.8345,0.8582,0.8462,141.0000
rating,0.9545,0.5676,0.7119,74.0000
user experience,0.6377,0.7458,0.6875,59.0000
accuracy,0.7950,0.7950,0.7950,0.7950
macro avg,0.8021,0.7631,0.7685,400.0000
weighted avg,0.8110,0.7950,0.7923,400.0000
