,precision,recall,f1-score,support
feature request,0.9877,0.9787,0.9832,328.0000
bug report,0.9959,0.9757,0.9857,247.0000
rating,0.9444,0.7759,0.8519,241.0000
user experience,0.9831,0.9578,0.9703,545.0000
micro avg,0.9807,0.9339,0.9567,1361.0000
macro avg,0.9778,0.9220,0.9478,1361.0000
weighted avg,0.9797,0.9339,0.9552,1361.0000
samples avg,0.8672,0.8436,0.8483,1361.0000
