,precision,recall,f1-score,support
bug report,0.9950,1.0000,0.9975,200.0000
feature request,1.0000,0.9900,0.9950,200.0000
rating,0.9950,1.0000,0.9975,200.0000
user experience,1.0000,1.0000,1.0000,200.0000
accuracy,0.9975,0.9975,0.9975,0.9975
macro avg,0.9975,0.9975,0.9975,800.0000
weighted avg,0.9975,0.9975,0.9975,800.0000
